coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo
CODDOC0005,59,married,secundaria,no,0,si,no,5,226,1,-1,0
CODDOC0007,36,married,terciario,no,307,si,no,14,341,1,330,2
CODDOC0008,39,married,secundaria,no,147,si,no,6,151,2,-1,0
CODDOC0012,43,married,secundaria,no,264,si,no,17,113,2,-1,0
CODDOC0013,36,married,terciario,no,1109,no,no,13,328,2,-1,0
CODDOC0014,20,single,secundaria,no,502,no,no,30,261,1,-1,0
CODDOC0016,40,married,terciario,no,194,no,si,29,189,2,-1,0
CODDOC0017,56,married,secundaria,no,4073,no,no,27,239,5,-1,0
CODDOC0018,37,single,terciario,no,2317,si,no,20,114,1,152,2
CODDOC0020,31,married,secundaria,no,132,no,no,7,148,1,152,1
CODDOC0023,44,single,secundaria,no,106,no,no,12,109,2,-1,0
CODDOC0024,44,married,secundaria,no,93,no,no,7,125,2,-1,0
CODDOC0026,41,married,terciario,no,5883,no,no,20,182,2,-1,0
CODDOC0027,55,married,primaria,no,627,si,no,5,247,1,-1,0
CODDOC0028,67,married,desconocido,no,696,no,no,17,119,1,105,2
CODDOC0029,56,married,secundaria,no,784,no,si,30,149,2,-1,0
CODDOC0032,31,married,secundaria,no,171,no,no,27,81,3,-1,0
CODDOC0035,49,married,terciario,no,1235,no,no,13,354,3,-1,0
CODDOC0038,32,married,secundaria,no,2089,si,no,14,132,1,-1,0
CODDOC0039,33,married,secundaria,no,3935,si,no,6,765,1,342,2
CODDOC0040,23,single,terciario,no,363,si,no,30,16,18,-1,0
CODDOC0042,36,single,terciario,no,553,no,no,11,106,2,-1,0
CODDOC0043,52,married,secundaria,no,1117,si,no,13,365,1,-1,0
CODDOC0051,45,divorced,primaria,no,844,no,no,5,1018,3,-1,0
CODDOC0052,37,single,secundaria,no,228,si,no,20,1740,2,-1,0
CODDOC0057,57,married,secundaria,no,82,no,si,4,140,1,-1,0
CODDOC0058,33,single,terciario,no,2155,no,no,17,295,1,-1,0
CODDOC0061,41,married,primaria,no,-516,no,si,8,554,3,-1,0
CODDOC0062,63,married,secundaria,no,415,si,no,7,323,1,-1,0
CODDOC0063,48,married,terciario,no,5887,no,no,13,227,2,-1,0
CODDOC0064,48,married,secundaria,no,1355,no,no,4,134,2,-1,0
CODDOC0065,56,married,secundaria,no,16873,no,no,7,223,1,-1,0
CODDOC0067,31,married,secundaria,no,338,si,no,28,155,1,-1,0
CODDOC0069,41,married,secundaria,no,0,no,si,7,630,3,-1,0
CODDOC0072,42,divorced,terciario,si,2,si,no,5,380,1,-1,0
CODDOC0073,31,single,terciario,no,6248,si,no,9,154,2,-1,0
